Month,Average # of Deaths Registered.y,Average # of Deaths Registered.x.x,Average # of Deaths Registered.y.y,Average # of Deaths Registered.x.x.x,Average # of Deaths Registered.y.y.y
Apr,236.25,208.58333333333334,211.16666666666666,237.33333333333334,272.9
Aug,240.71428571428572,239,211.21428571428572,229.71428571428572,209.83333333333334
Dec,229.21428571428572,208.71428571428572,233.14285714285714,228.14285714285714,216.8181818181818
Feb,264,276.2857142857143,275.42857142857144,259.2142857142857,250.07142857142858
Jan,342.07142857142856,359.64285714285717,372.14285714285717,345.64285714285717,358.2142857142857
Jul,222.71428571428572,250.14285714285714,262.7857142857143,275.42857142857144,235.25
Jun,235.71428571428572,238.07142857142858,235.28571428571428,253.14285714285714,196.42857142857142
Mar,275.2142857142857,281.2857142857143,285,268.7857142857143,237.42857142857142
May,315.2142857142857,320.07142857142856,328.7857142857143,319.7142857142857,403.35714285714283
Nov,348.14285714285717,351.07142857142856,340.42857142857144,355.5,279.57142857142856
Oct,280.7142857142857,275.35714285714283,274.85714285714283,278.35714285714283,226.35714285714286
Sep,248.14285714285714,224.78571428571428,250.78571428571428,235.71428571428572,185.21428571428572
