_id,CIVIC_CENTRE,DEATH_LICENSES,PLACE_OF_DEATH,TIME_PERIOD
8928,ET,69,Outside City Limits,2011-01
8929,ET,341,Toronto,2011-01
8930,NY,141,Outside City Limits,2011-01
8931,NY,540,Toronto,2011-01
8932,SC,129,Outside City Limits,2011-01
8933,SC,545,Toronto,2011-01
8934,TO,297,Toronto,2011-01
8935,ET,83,Outside City Limits,2011-02
8936,ET,224,Toronto,2011-02
8937,NY,81,Outside City Limits,2011-02
8938,NY,307,Toronto,2011-02
8939,SC,68,Outside City Limits,2011-02
8940,SC,339,Toronto,2011-02
8941,TO,223,Toronto,2011-02
8942,ET,116,Outside City Limits,2011-03
8943,ET,233,Toronto,2011-03
8944,NY,118,Outside City Limits,2011-03
8945,NY,537,Toronto,2011-03
8946,SC,117,Outside City Limits,2011-03
8947,SC,283,Toronto,2011-03
8948,TO,185,Toronto,2011-03
8949,ET,83,Outside City Limits,2011-04
8950,ET,290,Toronto,2011-04
8951,NY,87,Outside City Limits,2011-04
8952,NY,553,Toronto,2011-04
8953,SC,85,Outside City Limits,2011-04
8954,SC,372,Toronto,2011-04
8955,TO,42,Toronto,2011-04
8956,ET,57,Outside City Limits,2011-05
8957,ET,176,Toronto,2011-05
8958,NY,92,Outside City Limits,2011-05
8959,NY,480,Toronto,2011-05
8960,SC,51,Outside City Limits,2011-05
8961,SC,253,Toronto,2011-05
8962,ET,30,Outside City Limits,2011-06
8963,ET,239,Toronto,2011-06
8964,NY,107,Outside City Limits,2011-06
8965,NY,479,Toronto,2011-06
8966,SC,84,Outside City Limits,2011-06
8967,SC,518,Toronto,2011-06
8968,ET,40,Outside City Limits,2011-07
8969,ET,317,Toronto,2011-07
8970,NY,50,Outside City Limits,2011-07
8971,NY,315,Toronto,2011-07
8972,SC,43,Outside City Limits,2011-07
8973,SC,312,Toronto,2011-07
8974,TO,13,Outside City Limits,2011-07
8975,TO,51,Toronto,2011-07
8976,ET,169,Outside City Limits,2011-08
8977,ET,165,Toronto,2011-08
8978,NY,117,Outside City Limits,2011-08
8979,NY,389,Toronto,2011-08
8980,SC,93,Outside City Limits,2011-08
8981,SC,320,Toronto,2011-08
8982,TO,4,Outside City Limits,2011-08
8983,TO,273,Toronto,2011-08
8984,ET,74,Outside City Limits,2011-09
8985,ET,176,Toronto,2011-09
8986,NY,133,Outside City Limits,2011-09
8987,NY,610,Toronto,2011-09
8988,SC,58,Outside City Limits,2011-09
8989,SC,394,Toronto,2011-09
8990,ET,85,Outside City Limits,2011-10
8991,ET,245,Toronto,2011-10
8992,NY,123,Outside City Limits,2011-10
8993,NY,498,Toronto,2011-10
8994,SC,57,Outside City Limits,2011-10
8995,SC,492,Toronto,2011-10
8996,TO,5,Toronto,2011-10
8997,ET,70,Outside City Limits,2011-11
8998,ET,250,Toronto,2011-11
8999,NY,104,Outside City Limits,2011-11
9000,NY,458,Toronto,2011-11
9001,SC,73,Outside City Limits,2011-11
9002,SC,378,Toronto,2011-11
9003,ET,68,Outside City Limits,2011-12
9004,ET,174,Toronto,2011-12
9005,NY,110,Outside City Limits,2011-12
9006,NY,420,Toronto,2011-12
9007,SC,94,Outside City Limits,2011-12
9008,SC,456,Toronto,2011-12
9009,ET,127,Outside City Limits,2012-01
9010,ET,396,Toronto,2012-01
9011,NY,81,Outside City Limits,2012-01
9012,NY,424,Toronto,2012-01
9013,SC,47,Outside City Limits,2012-01
9014,SC,432,Toronto,2012-01
9015,TO,97,Toronto,2012-01
9016,ET,58,Outside City Limits,2012-02
9017,ET,362,Toronto,2012-02
9018,NY,62,Outside City Limits,2012-02
9019,NY,304,Toronto,2012-02
9020,SC,137,Outside City Limits,2012-02
9021,SC,508,Toronto,2012-02
