civic_centre,death_licenses,place_of_death,Year,Month
Etobicoke,183,Outside City Limits,2016,Jan
Etobicoke,422,Toronto,2016,Jan
North York,90,Outside City Limits,2016,Jan
North York,396,Toronto,2016,Jan
Scarborough,87,Outside City Limits,2016,Jan
Scarborough,564,Toronto,2016,Jan
Etobicoke,95,Outside City Limits,2016,Feb
Etobicoke,387,Toronto,2016,Feb
North York,83,Outside City Limits,2016,Feb
North York,285,Toronto,2016,Feb
Scarborough,99,Outside City Limits,2016,Feb
Scarborough,471,Toronto,2016,Feb
Etobicoke,155,Outside City Limits,2016,Mar
Etobicoke,440,Toronto,2016,Mar
North York,95,Outside City Limits,2016,Mar
North York,311,Toronto,2016,Mar
Scarborough,93,Outside City Limits,2016,Mar
Scarborough,533,Toronto,2016,Mar
Etobicoke,104,Outside City Limits,2016,Apr
Etobicoke,414,Toronto,2016,Apr
North York,51,Outside City Limits,2016,Apr
North York,255,Toronto,2016,Apr
Scarborough,107,Outside City Limits,2016,Apr
Scarborough,539,Toronto,2016,Apr
Etobicoke,137,Outside City Limits,2016,May
Etobicoke,355,Toronto,2016,May
North York,106,Outside City Limits,2016,May
North York,329,Toronto,2016,May
Scarborough,91,Outside City Limits,2016,May
Scarborough,518,Toronto,2016,May
Etobicoke,134,Outside City Limits,2016,Jun
Etobicoke,387,Toronto,2016,Jun
North York,53,Outside City Limits,2016,Jun
North York,304,Toronto,2016,Jun
Scarborough,48,Outside City Limits,2016,Jun
Scarborough,421,Toronto,2016,Jun
Etobicoke,126,Outside City Limits,2016,Jul
Etobicoke,407,Toronto,2016,Jul
North York,10,Outside City Limits,2016,Jul
North York,250,Toronto,2016,Jul
Scarborough,60,Outside City Limits,2016,Jul
Scarborough,186,Toronto,2016,Jul
Etobicoke,155,Outside City Limits,2016,Aug
Etobicoke,312,Toronto,2016,Aug
North York,77,Outside City Limits,2016,Aug
North York,240,Toronto,2016,Aug
Scarborough,85,Outside City Limits,2016,Aug
Scarborough,696,Toronto,2016,Aug
